Number,Population (in thousands),Real GDP per capita (year 2012 dollars),Pop_Perc
23068.0,125690.0,6502.51,0.0001835309093802212
29470.0,126485.0,7159.74,0.00023299205439380165
34956.0,127362.0,7743.28,0.00027446177038677156
36329.0,128181.0,8685.37,0.0002834195395573447
50244.0,128961.0,9074.84,0.000389606160001861
67895.0,129969.0,8706.69,0.0005223938015988428
82998.0,131028.0,9329.3,0.0006334371279421193
70756.0,132122.0,10067.97,0.0005355353385507334
51776.0,133402.0,11737.46,0.00038812011813915833
28781.0,134860.0,13803.2,0.00021341391072223046
23725.0,136739.0,15931.08,0.00017350572989417796
28551.0,138397.0,16991.7,0.0002062978243748058
38119.0,139928.0,16641.42,0.00027241867246012233
108721.0,141389.0,14558.42,0.0007689494939493171
147292.0,144126.0,14118.2,0.0010219668900822891
170570.0,146631.0,14447.83,0.001163260156447136
188317.0,149188.0,14120.44,0.0012622798080274553
249187.0,151684.0,15093.88,0.0016428034598243717
205717.0,154287.0,16033.76,0.0013333398147608029
265520.0,156954.0,16405.44,0.0016917058501216917
170434.0,159565.0,16893.43,0.0010681164415755335
208177.0,162391.0,16503.38,0.001281949122796214
237790.0,165275.0,17372.26,0.001438753592497353
321625.0,168221.0,17431.83,0.0019119194393090043
326867.0,171274.0,17481.35,0.0019084449478613216
253265.0,174141.0,17066.63,0.0014543674378807978
260686.0,177130.0,17942.75,0.001471721334612996
265398.0,180760.0,18034.96,0.001468234122593494
271344.0,183742.0,18196.71,0.001476766335405079
283763.0,186590.0,19017.1,0.0015207835360951819
306260.0,189300.0,19561.01,0.0016178552562070786
292248.0,191927.0,20405.15,0.0015227039447289854
296697.0,194347.0,21460.58,0.0015266353481144552
323040.0,196599.0,22614.05,0.0016431416233042893
361972.0,198752.0,22982.41,0.0018212244405087748
454448.0,200745.0,23872.57,0.002263807317741413
358579.0,202736.0,24377.02,0.0017686991950122326
373326.0,205089.0,24142.2,0.0018203121571610374
370478.0,207692.0,24624.44,0.0017837856056083046
384685.0,209924.0,25644.04,0.0018324965225510184
398515.0,211939.0,26834.14,0.0018803287738453046
393919.0,213898.0,26444.85,0.001841620772517742
385378.0,215981.0,26135.63,0.001784314360985457
499093.0,218086.0,27278.23,0.00228851462267179
458755.0,220289.0,28254.25,0.0020825143334437944
589810.0,222629.0,29504.69,0.002649295464651955
394244.0,225106.0,30104.04,0.001751370465469601
524295.0,227726.0,29681.28,0.002302306280354461
595014.0,230008.0,30132.43,0.0025869274112204793
533624.0,232218.0,29307.81,0.0022979441731476456
550052.0,234333.0,30374.3,0.002347309171136801
541811.0,236394.0,32288.47,0.0022919828760459234
568149.0,238506.0,33337.11,0.002382116173178033
600027.0,240683.0,34179.4,0.0024930177868814998
599889.0,242843.0,35047.34,0.002470275033663725
641346.0,245061.0,36180.79,0.0026170871742137673
1090172.0,247387.0,37156.76,0.004406747323020207
1535872.0,250181.0,37434.9,0.006139043332627178
1826595.0,253530.0,36900.56,0.0072046503372381965
973445.0,256922.0,37695.88,0.003788873665937522
903916.0,260282.0,38233.53,0.003472833311562075
803993.0,263455.0,39294.76,0.0030517279990890287
720177.0,266588.0,39875.39,0.002701460680900866
915560.0,269714.0,40900.36,0.0033945586806765687
797847.0,272958.0,42211.26,0.002922966170619656
653206.0,276154.0,43592.71,0.0023653685986804464
644787.0,279328.0,45145.85,0.0023083507561003553
841002.0,282398.0,46498.2,0.0029780734991041013
1058902.0,285225.0,46496.98,0.0037125146813918835
1059356.0,287955.0,46858.36,0.0036788942716743937
703542.0,290626.0,47755.88,0.0024207813478491257
957883.0,293262.0,49124.67,0.003266304533147834
1122257.0,295993.0,50381.26,0.003791498447598423
1266129.0,298818.0,51329.91,0.0042371242696223116
1052415.0,301696.0,51793.86,0.003488329311624947
1107126.0,304543.0,51239.73,0.0036353684044617674
1130818.0,307240.0,49501.37,0.0036805689363364146
1042625.0,309794.0,50352.17,0.0033655429091589894
1062040.0,312098.0,50755.53,0.003402905497632154
1031631.0,314374.0,51521.44,0.0032815404581803837
990553.0,316598.0,52102.03,0.003128740547950398
1016518.0,318953.0,52985.24,0.003187046367333118
1051031.0,321323.0,54109.73,0.003270948547100581
1183505.0,323668.0,54559.61,0.003656540034850526
1127167.0,325983.0,55373.13,0.0034577477966642434
